Compound	m/z	Retention time (min)	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10
0.57_697.3654m/z	697.3654	0.57	1598.2	1598.2	1480.2	1523.9	1604.0	3112.1	2958.2	2994.7	3055.0	3314.1
1.01_1010.9075m/z	1010.9075	1.01	1735.6	1582.5	1536.4	1694.3	1652.6	3364.6	3325.5	3386.0	3484.2	3792.9
4.60_266.1665m/z	266.1665	4.60	1649.9	1655.0	1599.4	1631.9	1668.1	1589.6	1615.5	1626.7	1649.9	1594.2
2.68_202.1806m/z	202.1806	2.68	1723.5	1680.3	1577.4	1610.9	1676.5	1638.2	1670.7	1641.5	1675.4	1692.7
0.85_327.0790m/z	327.0790	0.85	1292.9	1499.2	1216.4	1340.6	1682.8	1346.2	1487.4	1441.9	1880.9	1053.5
4.47_563.4629m/z	563.4629	4.47	1745.9	1566.1	1529.9	1644.2	1686.1	1815.4	1787.7	1742.7	1690.8	1801.1
3.22_288.9267m/z	288.9267	3.22	1664.2	1669.8	1554.7	1558.4	1687.9	1577.9	1574.3	1646.6	1629.8	1616.9
1.02_920.7691m/z	920.7691	1.02	1699.5	1648.9	1573.9	1744.1	1731.6	3160.0	3186.9	3174.5	3342.0	4094.6
0.59_753.4280m/z	753.4280	0.59	1545.7	1424.4	1580.3	1705.2	1762.3	3437.5	3345.2	3396.4	3304.1	3054.8
1.39_363.2898m/z	363.2898	1.39	1812.4	1843.7	1651.1	1638.3	1764.6	3174.4	3094.7	3330.6	3351.1	3484.9
1.37_694.6324m/z	694.6324	1.37	1584.6	1559.7	1556.9	1532.7	1797.2	3313.6	2618.7	3106.6	3007.4	3066.9
3.22_411.8944n	394.8911	3.22	1808.0	1743.2	1590.0	1643.6	1805.4	1761.2	1642.8	1722.2	1705.4	1670.1
0.58_725.3967m/z	725.3967	0.58	1711.7	1618.8	1684.8	1668.4	1810.2	3509.5	3443.4	3382.9	3602.7	3451.3
0.57_107.0501m/z	107.0501	0.57	1541.9	1565.8	1734.5	1634.8	1818.6	1698.5	1613.2	1694.8	1626.0	941.8
0.82_163.0398m/z	163.0398	0.82	1186.6	2535.1	1279.6	1448.9	1846.5	1540.9	1256.0	1663.3	1238.6	723.9
4.82_848.6146m/z	848.6146	4.82	1615.5	1873.9	1690.6	1864.9	1867.3	3355.1	3395.3	3432.1	3498.0	4305.7
1.27_648.5600n	631.5567	1.27	1863.9	1936.0	1810.6	1872.9	1877.4	3808.1	3731.6	3721.7	3542.9	4058.7
1.00_894.7558m/z	894.7558	1.00	1915.7	1877.1	1738.7	1923.3	1890.0	3367.7	3494.8	3306.6	3604.9	6817.3
1.04_385.3454m/z	385.3454	1.04	1984.9	1902.3	1818.5	1795.6	1917.7	3693.4	3584.1	3548.0	3593.7	3818.6
1.48_277.2160m/z	277.2160	1.48	2008.6	1940.9	1804.3	1795.7	1922.8	3656.2	3527.9	3689.0	3618.5	3885.0
1.16_300.2069n	301.2142	1.16	1565.1	1416.8	1548.7	1400.6	1932.6	2782.2	2382.6	2220.3	2607.0	2307.0
0.91_850.9332m/z	850.9332	0.91	1872.6	1968.7	1745.1	1813.0	1952.4	4044.0	4012.8	4195.8	4100.2	4540.5
4.83_852.5721m/z	852.5721	4.83	1755.5	1984.8	1772.6	1935.4	1956.1	3892.7	4031.0	4125.9	4163.7	4228.6
1.14_922.7646m/z	922.7646	1.14	1941.7	1866.9	1989.9	2093.1	1977.9	4028.5	4235.6	4161.8	4180.5	4140.4
1.03_976.8280m/z	976.8280	1.03	2075.5	2098.8	1905.1	1963.1	1986.0	3924.2	3854.3	4057.6	3989.5	4177.5
0.85_750.5587m/z	750.5587	0.85	1763.9	1882.0	2026.5	1751.5	2006.0	1737.1	1785.1	2048.6	1600.0	1651.1
3.22_387.9376n	370.9343	3.22	1954.9	1882.4	1811.9	1850.4	2029.6	1928.0	1900.8	1953.2	1874.4	1921.0
0.99_599.5033m/z	599.5033	0.99	2189.8	1941.9	2064.3	2506.3	2080.0	4099.3	5008.9	4124.8	4864.0	19997.9
4.95_717.5871m/z	717.5871	4.95	1535.9	1785.5	2031.4	2306.5	2089.0	4938.4	5424.3	5435.2	5464.6	5763.5
2.51_318.3005m/z	318.3005	2.51	2092.3	2021.9	1963.1	1987.7	2093.2	1932.8	2069.5	2023.6	2001.3	1977.7
2.08_600.6017m/z	600.6017	2.08	2218.3	2207.5	1960.4	2028.1	2101.5	3935.5	4054.1	4265.7	4146.6	4388.7
2.07_278.2847m/z	278.2847	2.07	1944.1	1994.8	2208.8	1787.4	2140.8	3371.6	3157.5	3200.9	3115.4	3758.3
1.18_329.2427m/z	329.2427	1.18	2059.1	1886.5	1732.5	1223.2	2142.1	2763.6	2439.6	1945.2	2793.8	3038.2
0.91_849.0493m/z	849.0493	0.91	2217.0	2275.6	2001.4	1987.4	2163.4	5184.2	4966.0	5172.7	4839.6	5627.2
3.22_331.9072n	314.9039	3.22	2063.8	2024.8	1992.5	1924.6	2164.9	2000.8	2010.9	2012.3	2076.0	2024.0
0.92_879.5040m/z	879.5040	0.92	2261.1	2318.1	1968.3	1945.4	2215.7	5038.2	4891.5	5006.6	4823.1	5419.3
0.92_878.9659m/z	878.9659	0.92	2299.0	2316.2	2096.7	2142.3	2278.5	4341.1	4299.0	4391.1	4200.2	4679.2
3.22_239.9585n	262.9487	3.22	2156.7	2188.3	2076.6	2008.3	2281.7	2127.2	2162.3	2192.8	2156.0	2159.6
3.22_267.9565n	290.9753	3.22	2172.3	2127.0	1988.4	2052.3	2282.9	2145.5	2140.5	2086.8	2150.9	2161.5
1.36_652.5840m/z	652.5840	1.36	2179.8	2140.7	2334.3	2168.6	2286.7	4093.4	4145.2	4143.1	4098.8	4464.7
1.34_591.5215m/z	591.5215	1.34	2226.1	2176.3	2097.2	2134.0	2288.3	4495.5	4483.9	4472.8	4421.3	4705.4
3.22_349.1833m/z	349.1833	3.22	2259.1	2249.1	2116.5	2241.5	2302.7	2079.1	2235.0	2253.8	2300.6	2234.7
1.36_659.5010m/z	659.5010	1.36	2794.8	2937.1	2687.9	2512.7	2303.3	3866.2	3952.2	3849.6	3914.8	3796.1
3.16_230.2482m/z	230.2482	3.16	2030.7	2276.1	2219.1	2291.5	2304.7	4099.6	4501.0	4583.1	4676.0	4611.9
0.89_806.7208m/z	806.7208	0.89	2346.7	2287.3	2216.9	2214.4	2316.8	4575.2	4419.1	4469.1	4627.1	4665.6
2.61_283.1752m/z	283.1752	2.61	2112.6	2229.3	2105.1	2041.7	2334.4	2107.4	2121.3	2170.7	2188.3	2242.9
0.57_166.0634n	149.0601	0.57	2139.3	2107.0	2239.9	2236.4	2342.7	2246.7	2176.7	2198.0	2183.8	1253.1
4.78_465.2361m/z	465.2361	4.78	2014.2	2249.9	2280.2	2455.5	2344.6	3738.0	3973.5	4042.3	4014.8	4245.6
0.86_567.4055n	585.4466	0.86	1378.0	1348.5	2299.1	2289.7	2347.3	2341.7	2351.3	2347.0	2496.4	556.8
1.20_549.4873m/z	549.4873	1.20	2320.3	2381.3	2165.9	2219.8	2347.9	4804.2	4665.7	4559.2	4734.7	4885.6
1.20_326.2218n	327.2291	1.20	2700.7	2684.5	2613.8	2561.7	2362.0	3511.1	4057.3	3677.3	4059.2	4259.2
1.23_575.5028m/z	575.5028	1.23	2369.5	2392.7	2148.1	2312.4	2366.7	4660.3	4545.6	4551.8	4784.9	4830.5
3.22_225.9426n	248.9319	3.22	2233.0	2244.0	2139.4	2181.1	2395.7	2143.0	2156.3	2221.0	2201.6	2342.5
0.96_648.5684n	631.5651	0.96	2431.5	2482.2	2262.2	2261.3	2410.8	4655.6	4438.6	4542.2	4624.0	4982.0
3.96_608.3858m/z	608.3858	3.96	2316.1	2461.3	2316.3	2439.0	2446.0	2393.1	2446.2	2555.0	2507.7	2393.9
4.01_816.5513m/z	816.5513	4.01	2307.7	2377.4	2332.1	2479.0	2451.9	5395.7	5726.8	5721.7	5815.7	5279.5
3.22_446.8481m/z	446.8481	3.22	2197.4	2260.6	2077.8	2195.1	2461.8	2183.2	2176.6	2217.9	2216.4	2277.3
1.03_978.8450m/z	978.8450	1.03	2623.3	2478.0	2262.5	2436.8	2469.0	4861.6	4826.1	4936.9	4916.6	5495.8
0.98_970.8773m/z	970.8773	0.98	2726.1	2585.2	2447.7	2536.2	2475.5	3959.4	4103.2	4291.2	4178.9	4612.8
0.93_877.6469m/z	877.6469	0.93	2667.0	2748.3	2496.5	2383.6	2503.5	5124.5	5088.3	5022.8	5065.7	4860.3
4.09_232.1447m/z	232.1447	4.09	2502.1	2535.2	2408.5	2420.4	2538.8	2412.6	2441.7	2368.6	2353.4	2430.8
0.99_968.8613m/z	968.8613	0.99	2635.4	2607.1	2464.0	2527.0	2541.1	4295.0	4481.4	4584.4	4530.8	5053.2
0.64_687.5492m/z	687.5492	0.64	2806.6	2762.0	2348.1	2409.3	2550.6	3359.8	3330.9	3411.4	3513.8	3642.7
1.02_948.7994m/z	948.7994	1.02	2659.7	2540.5	2333.0	2492.8	2584.3	4830.8	4603.3	4787.5	4883.9	5482.0
4.66_284.3310m/z	284.3310	4.66	2725.8	2606.7	2551.5	2644.6	2595.0	2433.9	2532.2	2474.4	2496.0	2631.7
3.22_345.9226n	328.9193	3.22	2553.8	2466.4	2381.1	2415.7	2615.5	2457.0	2463.6	2491.6	2474.9	2506.3
1.25_321.2601n	339.2889	1.25	2762.0	2655.0	2561.2	2472.1	2727.0	4799.5	4633.9	4633.6	4825.4	4895.9
0.98_963.8359m/z	963.8359	0.98	2870.2	2666.1	2682.1	2905.4	2743.0	4940.5	5189.4	5158.6	5583.7	8663.1
